ID,Smiles
419,CC1(C)[C@@H](OC(/C(C)=C/C)=O)[C@H](OC(C)=O)[C@@]([C@H](O)C[C@]2(C)C3=CC[C@@]4([H])[C@@]2(C)CC[C@]5([H])[C@]4(C)CC[C@H](O[C@@H]6O[C@H](C(O)=O)[C@@H](O[C@@H]7[C@@H](O)[C@H](O)[C@@H](O)[C@H](CO)O7)[C@H](O)[C@H]6O[C@@H]8OC(CO)[C@@H](O)[C@H](O)[C@H]8O)[C@@]5(CO)C)(CO)[C@@]3([H])C1
420,O=S(CCCCN=C=S)C
421,O=C1C(O[C@H]2[C@@H]([C@H]([C@@H]([C@@H](CO[C@H]3[C@@H]([C@@H]([C@H]([C@H](C)O3)O)O)O)O2)O)O)O)=C(C4=CC=C(O)C(O)=C4)OC5=CC(O)=CC(O)=C15
422,O[C@H]1[C@H](O)[C@@H](O)[C@]([H])(O[C@]2([C@@]3(C)O[C@]4([H])O[C@@]5(C3)O)C[C@]5([H])[C@]24COC(C6=CC=CC=C6)=O)O[C@@H]1CO
423,O=P(OCC[N+](C)(C)C)(OC[C@H](O)CO)[O-]
424,O[C@H]1[C@H](O)[C@@H](OC(C)=O)[C@]([H])(O[C@@H]2C(C)(C)[C@@]([C@@H](O[C@]3([H])O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C[C@]4([H])[C@@]56CC[C@@]7(C)[C@@]4(C)C[C@H](O)[C@@]7([C@]8(C)O[C@H](C(O)(C)C)CC8)[H])([H])[C@]5(C6)CC2)OC1
425,O[C@@H]([C@@H]1O)[C@@H](O[C@@H]1CO)N2C(N=CN=C3N)=C3N=C2
426,C[C@@]1(/C2=C/C)[C@](CC2=O)([H])[C@@]3([H])[C@]([C@@]4(C(CC3)=CC(CC4)=O)C)([H])CC1
427,O=C(C(N12)=C(S[C@@H]3CN[C@H](CNS(=O)(N)=O)C3)[C@H](C)[C@]2([H])[C@@H]([C@H](O)C)C1=O)O.O
428,O=C(C1=C(O)C=C(O[C@H]2[C@@H]([C@H]([C@@H]([C@@H](CO)O2)O)O)O[C@@]3([H])[C@@H]([C@@H]([C@H]([C@H](C)O3)O)O)O)C=C1O)CCC4=CC=C(OC)C(O)=C4
429,O=C([C@@]([H])1[C@@H](C)O)N([C@@H]1S2)C(C(O[Na])=O)=C2[C@@H]3OCCC3
430,O=S(C1=CC=C(N)C=C1)(NC2=NC(Cl)=CN=C2)=O
431,O=S(C1=CC=C(N)C=C1)(NC2=NC=C(OC)C=N2)=O
432,C[C@@H](O[C@@]1([H])O[C@H]([C@H]([C@@H](CC2=O)O)C)[C@H](C[C@H](C(/C=C/C(C)=C/[C@H](CO[C@H](O[C@H](C)[C@@H](O)[C@H]3OC)[C@@H]3OC)[C@@H](CC)O2)=O)C)CC=O)[C@H]([C@@H]([C@H]1O)N(C)C)O[C@@](O[C@@H](C)[C@@H]4O)([H])C[C@]4(O)C.O[C@@H](C(O)=O)[C@@H](O)C(O)=O
433,C[C@@H](O[C@@]1([H])O[C@H]([C@H]([C@@H](CC2=O)O)C)[C@H](C[C@H](C(/C=C/C(C)=C/[C@H](CO[C@H](O[C@H](C)[C@@H](O)[C@H]3OC)[C@@H]3OC)[C@@H](CC)O2)=O)C)CC=O)[C@H]([C@@H]([C@H]1O)N(C)C)O[C@@](O[C@@H](C)[C@@H]4O)([H])C[C@]4(O)C
434,O=C(/C(C)=C/C)N[C@@H](C1=CC=CC=C1)[C@H](C(O[C@@H]2C(C)=C([C@@H](OC(C)=O)C([C@@]3(C)[C@]([C@](OC(C)=O)(CO4)[C@H]4C[C@@H]3O)([H])[C@@H]5OC(C6=CC=CC=C6)=O)=O)C(C)(C)[C@@]5(O)C2)=O)O
435,CCC(C)CCCC(N[C@@H](CCN)C(N[C@H](C(N[C@H](C(N[C@@H](CCNC([C@H]([C@H](O)C)N1)=O)C(N[C@@H](CCN)C(N[C@H](CC(C)C)C(N[C@@H](CC(C)C)C(N[C@@H](CCN)C(N[C@@H](CCN)C1=O)=O)=O)=O)=O)=O)=O)CCN)=O)[C@H](O)C)=O)=O.O=S(O)(O)=O
436,CC(C)/C=C/CCCCC(NCC1=CC=C(O)C(OC)=C1)=O
437,O=C(O)C1=CC=C(N)C=C1
438,C[C@@]1([C@@]2([H])[C@H](C)CCC(NCCS(=O)(O)=O)=O)[C@](CC2)([H])[C@@]([C@@H](C[C@]3([H])C[C@H](O)CC4)O)([H])[C@]([C@]34C)([H])CC1
439,O=S(C1=CC=C(N)C=C1)(NC2=NN=C(OC)C=C2)=O
440,O=C(C1=CN(C2=CC=C(F)C=C2)C3=C(C=C(F)C(N4CCNCC4)=C3)C1=O)O.Cl
441,O=C(O)CCCC[C@@H]1SC[C@]([C@]1([H])N2)([H])NC2=O
442,C=CCOC(C1=CC=C(Cl)C=C1Cl)CN2C=CN=C2
443,O=C(OCC)/C=C/C1=CC=C(O)C(OC)=C1
444,O=C1[C@]2([H])[C@](COC3=CC(OC)=C(OC)C=C32)([H])OC4=C5C(O[C@@H](C(C)=C)C5)=CC=C14
445,C1=C(C=CC(=C1)O)CCC(O)=O
446,O=CC1=CC=C(O)C(OCC)=C1
447,O=C(O)CCC(CN)=O.[H]Cl
448,SCCN.Cl
449,OCCN1C([N+]([O-])=O)=CN=C1C
450,O=C1OC(CCCC)C2=C1C=CC=C2
451,N#CC[C@H](C1CCCC1)N2N=CC(C3=C4C=CNC4=NC=N3)=C2.O=P(O)(O)O
452,[H][C@@]12CC3=C(Br)NC4=CC=CC(C1=C[C@@H](C(N[C@@]5(C(C)C)C(N6[C@@H](CC(C)C)C(N7CCC[C@]7([C@]6(O)O5)[H])=O)=O)=O)CN2C)=C43.OS(=O)(C)=O
453,C[C@@H]1O[C@H](C)CN(CC(C)CC2=CC=C(C(C)(C)CC)C=C2)C1.Cl
454,[H][C@@]12[C@](CCC3)(C=C(OC)[C@]2(OC([C@](CCCC(O)(C)C)(O)CC(OC)=O)=O)[H])N3CCC4=CC5=C(OCO5)C=C14
455,O[C@H]1[C@H](O)[C@@H](CO)O[C@@H](O[C@@H]2OC=C(C(O)=O)[C@]3([H])[C@@]2([H])C(CO)=CC3)[C@@H]1O
456,C[C@@]1([C@H]2O)[C@](C[C@H]2O)([H])[C@@](CCC3=C4C=CC(O)=C3)([H])[C@]4([H])CC1
457,O=C([C@H]([C@@H](OC)[C@H](OC(C1=CC(OC)=C(OC)C(OC)=C1)=O)C[C@]2([H])CN3CC4)[C@@]2([H])C[C@]3([H])C5=C4C(C=CC(OC)=C6)=C6N5)OC.Cl
458,O=C1C(C)=C(C/C=C(C)/CC/C=C(C)/CC/C=C(C)/CC/C=C(C)\C)C(C2=C1C=CC=C2)=O
459,N#C[C@@H]([C@@]1([H])N(C)[C@]2([H])C3=C(C=C(C)C(OC)=C3O)C1)N4[C@@]2([H])[C@@](SC[C@@]5(NCC6)C7=C6C=C(O)C(OC)=C7)([H])C8=C(C(OCO9)=C9C(C)=C8OC(C)=O)[C@]4([H])COC5=O
460,NC1=NC=C(CC2=CC(OC)=C(OC)C(OC)=C2)C(N)=N1
461,O[C@H]1[C@](O[C@H](C)[C@@H](O[C@@](O[C@@H](C)[C@@H]2OC(CC)=O)([H])C[C@]2(O)C)[C@@H]1N(C)C)([H])O[C@@H]([C@H](C[C@H]([C@H](/C=C/C=C/C3)O)C)CC=O)[C@H]([C@](CC(O[C@@H]3C)=O)([H])OC(CC)=O)OC
462,O=C(C(C1=O)=C(O)[C@@H](N(C)C)[C@]2([H])C[C@]3([H])CC4=C(C(C3=C(O)[C@@]21O)=O)C(O)=C(NC(CNC(C)(C)C)=O)C=C4N(C)C)N
463,O[C@H]([C@]1([H])[N@@](CC2)C[C@H](CC)[C@@H]2C1)C3=CC=NC4=CC=C(OC)C=C34
464,O[C@H]1CC[C@@]2(C3)[C@]([C@@H](O)C[C@]4([H])[C@@]23CC[C@@]5(C)[C@@]4(C)C[C@H](O)[C@]5([H])[C@@]6(C)O[C@@H](C(C)(C)O)CC6)([H])C1(C)C
465,C[C@](CC/C=C(C)/C)([C@]1([H])[C@]([C@H](O)C[C@@]2([H])[C@@]3(C)CC[C@]4([H])[C@]2(C)CC[C@H](O[C@]5([H])O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O[C@]6([H])O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)C4(C)C)([H])[C@@]3(C)CC1)O[C@@H]7O[C@H](CO[C@@H]8O[C@@H](CO)[C@H](O)[C@H]8O)[C@@H](O)[C@H](O)[C@H]7O
466,O=C(C1(CCC(C)C2C)C2C3=CCC4C(C)(CC(O)C5C4(CC(O)C(O)C5(C)CO)C)C3(C)CC1)OC(C(C(O)C6O)O)OC6COC(C(C(O)C7OC(OC(C)C(O)C8O)C8O)O)OC7CO
467,OB1OCC2=CC(F)=CC=C21
468,O=C1[C@H](N)CON1
469,O=C([O-])C1=C(O)C=CC(/N=N/C2=CC(C([O-])=O)=C(O)C=C2)=C1.[Na+].[Na+]
470,O=S(C1=CC=C(N)C=C1)(NC2=C(C)C(C)=NO2)=O
471,O=C1OC(CN2CCOCC2)CN1/N=C/C3=CC=C([N+]([O-])=O)O3.[H]Cl
472,O=S(C1=CC=C(N)C=C1)(NC2=NC=CC(C)=N2)=O
473,OCC(O)COC1=CC=CC=C1OC
474,CC1(C)[C@@]2(C)CC[C@@H]1CC2=O
475,C[C@]1([C@](CC2)([H])[C@]3([H])CC[C@@]4([H])C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC1)C2=O
476,O=S(C1=CC=C(N)C=C1)(NC(N)=N)=O
477,NC1=C(C(C2=C(C1=O)[C@@H](COC(N)=O)[C@]3(OC)N2C[C@H]4[C@@H]3N4)=O)C
478,COC1=CC=C(/C=C/C2=CC(OC)=CC(OC)=C2)C=C1
479,O=C(C(N=C(C(NC(C1=NN=C(C)O1)=O)(C)C)N2C)=C([O-])C2=O)NCC3=CC=C(F)C=C3.[K+]
480,SC[C@@H](C(O)=O)NC(C)=O
481,O=C([C@@H]1N=C(C2=NC3=CC=C(O)C=C3S2)SC1)O
482,O=C(C1=CC=CC=C1)S/C(CCOC(C2=CC=CC=C2)=O)=C(N(CC3=CN=C(C)N=C3N)C=O)/C
483,O=C(O)[C@@H](N)CCN
484,CCN(C1=CC2=[O+]C3=C(C=CC(N(CC)CC)=C3)C(C4=CC=CC=C4C(O)=O)=C2C=C1)CC.[Cl-]
485,O[C@@H]1[C@@H](O)[C@H](C)O[C@@]([H])(O[C@H]2[C@H](O)[C@@H](O[C@]3([H])O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)[C@@](O[C@@H]4CC5=CC[C@]([C@]([H])(C[C@@]6([H])[C@]7([H])[C@H](C)[C@]8(OC[C@H](C)CC8)O6)[C@]7(C)CC9)([H])[C@@]9([H])[C@@]5(C)CC4)([H])O[C@@H]2CO)[C@@H]1O
486,C[C@]([C@@]1(C2=C([C@H](C)C[C@H](O)[C@H](C(C)(O)C)OC(C)=O)CC1)C)(CC[C@@]3([H])C4(C)C)[C@]([C@H](C2)O)([H])[C@]3(CCC4=O)C
487,O=C(C1=CC=CO1)O
488,OC1=CC=C2C(CC[C@]3([H])[C@]2([H])CC[C@@]4(C)[C@@]3([H])CC[C@]4(C#C)O)=C1
489,O=C1C(C2=CC=C(OC)C=C2)=COC3=CC(O)=CC=C13
490,COC1=C(O)C=CC(CCC(CCCCCCC)=O)=C1
491,OC1=CC(CCCCC)=CC(O)=C1
492,C/C(C)=C/CNC1=C2N=CNC2=NC=N1
493,ClC1=C(N(C)C(C[C@H](OC(C(C)C)=O)[C@@](O2)(C)[C@]2([H])[C@H](C)[C@]3([H])C[C@](NC(O3)=O)(O)[C@H](OC)/C=C/C=C(C)/C4)=O)C=C4C=C1OC
494,O[C@H]([C@H](C[C@@H](C)O1)N(C)C)[C@]1([H])O[C@@H]2[C@H]([C@@H]([C@H](C(O[C@@H]([C@@](C)(O)[C@H](O)[C@@H](C)CN(CCC)[C@H](C)C[C@]2(O)C)CC)=O)C)O[C@@]3([H])C[C@](C)([C@@H](O)[C@H](C)O3)OC)C
495,OC1=C(C2=C(O)C(C(C=O)=C(O)C(O)=C3C(C)C)=C3C=C2C)C(C)=CC4=C(C(C)C)C(O)=C(O)C(C=O)=C41.O=C(O)C
496,OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)[C@H](OC2=CC(O)=C(C(C(O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O[C@@]4([H])[C@H](O)[C@@H](O)[C@H](O)CO4)=C(C5=CC=C(OC)C=C5)O6)=O)C6=C2C/C=C(C)/C)O1
497,O=C([C@@](CC(OC)=O)(O)CCC(C)(O)C)O[C@H]1[C@](C2=CC(OCO3)=C3C=C2CCN4CCC5)([H])[C@]45C=C1OC
498,C[C@]([C@@](C[C@H]1O)([H])[C@]2(CC[C@@H]3O)C)(C[C@H](O[C@@](O[C@H](CO)[C@@H](O)[C@@H]4O)([H])[C@@H]4O[C@@](O[C@@H](C)[C@H](O)[C@H]5O)([H])[C@@H]5O)[C@@]2([H])C3(C)C)[C@]6([C@@]1([H])[C@]([C@@](C)(O)CC/C=C(C)/C)([H])CC6)C
499,N[C@@H](CCC/N=C(NC)/NC)C(O)=O
500,CC1=C(OC2=O)C(C(O)=C2NC(C3=CC(C/C=C(C)/C)=C([O-])C=C3)=O)=CC=C1O[C@H](OC(C)(C)[C@H](OC)[C@H]4OC(N)=O)[C@@H]4O.[Na+]
501,O=C1OC2(CCN(CCC3=CC=CC=C3)CC2)CN1.[H]Cl
502,O[C@@H]1[C@@H](C2=CC(O)=C(O)C=C2)OC3=CC(O)=CC(O)=C3C1
503,O=C(NC1=CC=CC=C1)NC2=CC(Cl)=NC=C2
504,O=C1C=CC2=CC=C(OC=C3)C3=C2O1
505,CC1(C)CC[C@@](CC[C@]2(C)C3=CC[C@@]4([H])[C@@]2(C)CC[C@]5([H])[C@]4(C)CC[C@H](O)[C@]5(CO)C)(C(O)=O)[C@@]3([H])C1
506,O=C(N[C@H]1CC2=CN=CN2)[C@@](CCC3)([H])N3C1=O
507,O=C(N1C)N(C)C2=C(NC(Cl)=N2)C1=O.CN(C)CCOC(C3=CC=CC=C3)C4=CC=CC=C4
508,O=C1N=C(N)C=CN1[C@H]2[C@H]([C@@H]([C@@H](CO)O2)O)O
509,CO[C@@H](CC1)C23[C@@](C[C@@]4(O)[C@@H]5OC(C6=CC=CC=C6)=O)([H])[C@@]5([H])[C@](OC(C)=O)([C@@H](O)[C@@H]4OC)C7C2N(C)C[C@@]1(COC)[C@@]3([H])[C@H]7OC
510,O=C(CC(N)CCCN)NCC(C(N/C(C(NC(C1NC(NCC1)=N)C2=O)=O)=C/NC(N)=O)=O)NC(C(NC(C(CN2)N)=O)C)=O.O=S(O)(O)=O
511,C[C@@]([C@@]12C)(C[C@H](O[C@]([C@@H]([C@@H](O)[C@@H]3O)O)([H])O[C@@H]3CO)[C@@]4([H])C5(C)C)[C@@](C[C@@H](O)[C@]1([H])[C@]([C@@](C)(O)CC/C=C(C)/C)([H])CC2)([H])[C@]4(CC[C@@H]5O)C
512,OC[C@@]1(C)[C@]2([H])CC[C@@]3(C)[C@]4(C)CC[C@@]5(C(O)=O)CCC(C)(C)C[C@@]5([H])C4=CC[C@]3([H])[C@@]2(C)CC[C@@H]1O[C@]6([H])OC[C@H](O)[C@H](O)[C@H]6O[C@@]7([H])[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O7
513,O=C(N1CCC(N2CCCCC2)CC1)OC3=CC=C4N=C5C(CN6C(C(COC([C@@]7(CC)O)=O)=C7C=C65)=O)=C(CC)C4=C3.[H]Cl
514,CC(N1CCN(C2=CC=C(OC[C@@H]3O[C@@](CN4N=CN=C4)(C5=CC=C(Cl)C=C5Cl)OC3)C=C2)CC1)C
515,O=C(C(N12)=C(CSC3=NN=NN3C)CS[C@]2([H])[C@](OC)(NC(CSCC#N)=O)C1=O)[O-].[Na+]
516,O[C@]([C@@](CC[C@@]1([H])[C@@]2(CC[C@H](O[C@@](O[C@H](C)[C@H]3O[C@@](O[C@H](C)[C@H]4O[C@@](O[C@H](C)[C@H]5O)([H])C[C@@H]5O)([H])C[C@@H]4O)([H])C[C@@H]3O)C1)C)([H])[C@]2([H])C[C@H]6O)(CC[C@@H]7C(CO8)=CC8=O)[C@]67C
517,O[C@H]([C@H]1O)C2(O[C@@]([C@@H](N)CO)([H])[C@@H]1O)O[C@@]([C@@H](O[C@@H]3CO)O[C@@]([C@H]([C@H](N)C4)O)([H])[C@@H]([C@H]4NC)O)([H])[C@@]([C@H]3O)([H])O2
518,O[C@H]1[C@@H](O)C[C@@](C(OC[C@]2([H])[C@]3([H])CC[C@@]4(C)[C@]2(CC[C@]4([H])[C@H](C)[C@@H](O)[C@H](O)[C@H](C(C)C)C)[H])=O)([H])[C@]3(C)C1
519,O=C(C(N12)=C(CSC3=NN=NN3C)CS[C@]2([H])[C@H](NC([C@H](NC(N4C(C(N(CC)CC4)=O)=O)=O)C5=CC=C(O)C=C5)=O)C1=O)O
520,OC[C@H]([C@]1(O[C@@H]2[C@H](O)[C@@H](O)[C@@H]([C@H](O2)C)N[C@]3(C=C(CO)[C@H]([C@@H]([C@H]3O)O)O)[H])[H])O[C@@H]([C@@H]([C@H]1O)O)O[C@@]([H])([C@@H]([C@H](C=O)O)O)[C@@H](CO)O
521,CC1(C)CC[C@]2(C(O)=O)[C@H](O)C[C@@]3(C)[C@]4(C)CC[C@@]5([H])C(C)(C)[C@@H](O)CC[C@]5(C)[C@@]4([H])CC=C3[C@]2([H])C1
522,CC1(C)CC[C@]2(CO3)[C@H](O)C[C@@]4(C)[C@]([C@]5([H])C=C[C@]43[C@]2([H])C1)(C)CC[C@@]([C@]5(C)CC6)([H])[C@@](CO)(C)[C@H]6O[C@@](O[C@H](C)[C@@H]7O)([H])[C@H](O)[C@H]7O[C@@]8([H])[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O8
523,OC1=C2C(OC=C(C3=CC=C(OC)C=C3)C2=O)=CC(O)=C1
524,OC1=C2C(OC(C3=CC=C(O)C=C3)=C(O)C2=O)=CC(O)=C1
525,C[C@@H]([C@@H](CC1=O)O)[C@H]([C@H](C[C@H](C(/C=C/C(C)=C/[C@H](CO[C@H](O[C@H](C)[C@@H](O)[C@H]2OC)[C@@H]2OC)[C@@H](CC)O1)=O)C)CCN(C[C@H](C)C3)C[C@H]3C)O[C@@](O[C@H](C)[C@@H](O)[C@@H]4N(C)C)([H])[C@@H]4O.O=P(O)(O)O
526,O=C(C1=CC=CC=C1)OC[C@@]2([C@@]([C@H](O)C[C@@]3(OC2=O)C)([H])C4)[C@]43O[C@@H]5O[C@@H]([C@@H](O)[C@H](O)[C@H]5O)CO
527,O=C1C=C(C2=CC=CC=C2)OC3=CC(O)=C(O)C(O)=C13
528,O=C1C(C2=CC=C(OC)C(O)=C2)=COC3=CC(O)=CC=C13
529,O=C1C=C(C)C2=CC=C(O)C=C2O1
530,CC(C1=CC=C(O)C(OC)=C1)=O
531,COC1=C(O)C=CC(C[C@H](CO[C@@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)CO)[C@](CO[C@@H]3O[C@@H]([C@@H](O)[C@H](O)[C@H]3O)CO)([H])CC4=CC(OC)=C(O)C=C4)=C1
532,OC1=CC2=C(C=C1OC)CCN(C)[C@@H]2CC3=CC=C(O)C(OC4=CC=C(C[C@H]5N(C)CCC6=C5C=C(OC)C(OC)=C6)C=C4)=C3
533,CC1(C)[C@@H](O)CC[C@]([C@@]1([H])CC[C@@]([C@@]2(CC[C@]3(CC[C@](C(O)=O)(C[C@]3(C2=C4)[H])C)C)C)5C)(C)[C@@]5([H])C4=O
534,O=C1N(C(CCCC)=NC(C)=C1CC(N(C)C)=S)CC2=CC=C(C3=C(C4=NN=NN4)C=CC=C3)C=C2
535,[O-]C(/C(CC/C=C(C)\C)=C1[C@@H](OC(C)=O)C[C@]2(C)[C@@]3(C)CC[C@@]4([H])[C@H](C)[C@H](O)CC[C@]4(C)[C@]3([H])[C@H](O)C[C@@]\12[H])=O.[Na+]
536,O=C([C@H]1NC[C@@H](SC2=C(C(O)=O)N3[C@]([C@]([C@@H](C)O)([H])C3=O)([H])[C@H]2C)C1)NC4=CC=CC(C([O-])=O)=C4.[Na+]
537,[H][C@]12C(NC3=C4C=CC=C3)=C4CCN1C[C@@]5(CC[C@H](O)[C@H](C(OC)=O)[C@]5(C2)[H])[H].[H]Cl
538,O=C(C(C=C1C2=O)=CC(O)=C1C(C3=C2C=CC=C3O)=O)O
539,C1(CC2=CNC3=C2C=CC=C3)=CNC4=C1C=CC=C4
540,O=C(N1C)N(C)C2=C(N(CC(O)C)C=N2)C1=O
541,CC(C1CC=C(/C=N/O)CC1)=C
542,O=C1C=C(CO)OC2=CC(O[C@H](C(C)(O)C)C3)=C3C(OC)=C12
543,O=C(OCCN(CC)CC)C1=CC=C(OCCC)C(N)=C1.[H]Cl
544,O=C1CCC[C@]2([H])[C@@]3([H])CCCN4[C@@]3([H])[C@](CCC4)([H])CN21
545,O=C1C=C(C2=CC=C(O)C(O)=C2)OC3=CC(O)=CC(O)=C13
546,O=C1N=C(N)NC2=NC=C([C@@H](O)[C@@H](O)C)N=C12
547,O=C(C(N12)=C(C)CS[C@]2([H])[C@H](NC(/C(C3=CSC(N)=N3)=N\OC)=O)C1=O)OCOC(C(C)(C)C)=O.[H]Cl
548,O=C(C1=C2C=CC3=C1CCCC3(C)C)C(C4=C2OC[C@@H]4C)=O
549,C[C@]12[C@@](C(C=C3[C@]2(CC[C@]4(C)[C@@]3([H])C[C@](C(O)=O)(C)CC4)C)=O)([H])[C@@]5([C@@](C(C)([C@@H](O[C@]6([H])[C@@H]([C@H]([C@H](O)[C@@H](C(O)=O)O6)O)O[C@]7([H])O[C@@H]([C@@H](O)[C@H](O)[C@H]7O)C(O)=O)CC5)C)([H])CC1)C
550,CC1[C@@]([C@](O)([C@H](OC([C@@H]2C)=O)CC)C)([H])O[C@H](COCCOC)N[C@@]1([H])[C@](C[C@@](O)([C@@H]([C@@H](C)[C@]2([H])O[C@@](O[C@@H](C)[C@@H]3O)([H])C[C@@]3(C)OC)O[C@@](O[C@H](C)C[C@@H]4N(C)C)([H])[C@@H]4O)C)([H])C
551,O=C1[C@H](O)[C@@H](C2=CC=C(O[C@H](CO)[C@@H](C3=CC=C(O)C(OC)=C3)O4)C4=C2)OC5=CC(O)=CC(O)=C15
552,C[C@@](OC)(C[C@H](C([C@@H]1C)=O)C)[C@@H]([C@H]([C@@H]([C@H](C(O[C@H](CC)[C@@](C)(O)[C@@H]1O)=O)C)O[C@@](O[C@@H](C)[C@@H]2O)([H])C[C@@]2(C)OC)C)O[C@@](O[C@H](C)C[C@@H]3N(C)C)([H])[C@@H]3O
553,NC1=C2C(N([C@H]3[C@H](O)[C@H](O)[C@@H](COP(OP([O-])(OC[C@@H]4[C@@H](O)[C@@H](O)[C@H](N5C=C(C(N)=O)CC=C5)O4)=O)([O-])=O)O3)C=N2)=NC=N1.[Na+].[Na+]
554,C[C@]([C@@](C[C@H]1O)([H])[C@]2(CC[C@@H]3O)C)(C[C@H](O)[C@@]2([H])C3(C)C)[C@]4([C@@]1([H])[C@]([C@](C)(O)CC/C=C(C)/C)([H])CC4)C
555,CO[C@@H]1C(C(N(CC)C2)C3C4)([C@@](C[C@@]5([H])[C@@H]6OC)([H])[C@@]6(O)[C@@]3(C[C@@H]5OC)O)[C@@]4([H])[C@@]2(OC(C(C=CC=C7)=C7NC(C)=O)=O)CC1.Br
556,O[C@@H]([C@@H](O)[C@H](O)[C@@H](O)C=O)CO[C@H]([C@@H]([C@@H](O)[C@H]1O)O)O[C@@H]1CO[C@H]([C@@H]([C@@H](O)[C@H]2O)O)O[C@@H]2CO
557,O[C@H]([C@@H](O)[C@@H]1O)[C@@H](O[C@@H]1CO)OC2=CC(/C=C/C(C=CC(O[C@@H]([C@@H]([C@@H](O)[C@@H]3O)O)O[C@@H]3CO)=C4)=C4O)=CC(O)=C2
558,C[C@]12[C@@]3([H])[C@@](C4)(CC[C@]1([H])[C@@](C)(CCC2)C(O[C@@H]5O[C@@H]([C@@H](O)[C@H](O)[C@H]5O)CO)=O)C[C@@](C4=C)(O[C@@]6([H])[C@@H]([C@H]([C@H](O)[C@@H](CO)O6)O[C@]7([H])O[C@@H]([C@@H](O)[C@H](O)[C@H]7O)CO)O[C@]8([H])O[C@@H]([C@@H](O)[C@H](O)[C@H]8O)CO)CC3
559,C1=NC=CN1
560,O=C1C(O[C@H]2[C@@H]([C@H]([C@@H]([C@@H](CO[C@H]3[C@@H]([C@@H]([C@H]([C@H](C)O3)O)O)O)O2)O)O)O)=C(C4=CC=C(OCCO)C(OCCO)=C4)OC5=CC(OCCO)=CC(O)=C15
561,CC(C1(C[C@H](C2)C3)C[C@H]3C[C@H]2C1)N.Cl
562,O=C(O)CCCCC1SSCC1
563,O[C@@]([C@@H](C(CO)=C[C@@]1([H])[C@H](C2(C)C)[C@H]2C3)O)([C@H]4O)[C@]([C@@H]3C)(C=C4C)C1=O
564,FC(C1=NN=C2C=CC(C3=CC=C(OC(F)(F)F)C=C3)=CN21)(F)F
565,COC(C(C=C1NC(/C(C)=C/C=C/[C@H](OC)[C@@H](OC(N)=O)/C(C)=C/[C@H](C)[C@H]2O)=O)=O)=C(C[C@H](C[C@@H]2OC)C)C1=O
566,O[C@H]([C@@H](O)[C@@H]1O)[C@](O[C@@H]1CO)([H])O[C@H](OC=C2)[C@@]3([H])[C@]2([H])[C@H](O)C=C3CO
567,O=C[C@@H]([C@H]([C@H]([C@@H](CO)O)O)O)O
568,O=C1CNC[C@@]2([H])N1CCC3=C2C=CC=C3
569,O=C1[C@](O)(CC)C2=C(CO1)C(N3CC4=C(CC)C5=CC(O)=CC=C5N=C4C3=C2)=O
570,O=C(O)CCCC[C@H]1SSCC1
571,O=C1C[C@@H](C(C)C)C(C/C(C)=C/CC[C@@H]1C)=O
572,O[C@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)[C@@H]1OC2=CC=C(O)C=C2
573,O=C1C(CC2CCC(C(C)(C)C)CC2)=C(O)C(C3=C1C=CC=C3)=O
574,O=C(N)NC(C(N1)=O)NC1=O
575,O=C(/C=C/C1=CC=C(C=C1)O)C2=CC=C(C(C/C=C(C)\C)=C2O)O
576,O=C(CC(CCC1=CC=C(O)C(OC)=C1)=O)CCC2=CC=C(O)C(OC)=C2
577,CC(CN(C)C)CN1C2=C(C=CC=C2)CCC3=C1C=CC=C3.O=C(O)/C=C\C(O)=O
578,O[C@H]1[C@H](O)[C@@H](CO)O[C@@H](O[C@H]2C[C@]([C@@](C[C@H](O)[C@]3([H])[C@@]4(CC[C@H](C(C)(C)O)O4)C)(C)[C@]3(C)CC5)([H])[C@@]65[C@]7(C6)[C@]2([H])C(C)(C)[C@@H](O[C@@H]8OC[C@@H](O)[C@H](O)[C@H]8O)CC7)[C@@H]1O
579,O[C@H]1[C@H](O)[C@@H](O)[C@]([H])(O[C@@H]2C(C)(C)[C@@]([C@@H](O[C@]3([H])O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C[C@]4([H])[C@@]56CC[C@@]7(C)[C@@]4(C)C[C@H](O)[C@]7([H])[C@]8(C)O[C@H](C(C)(O)C)CC8)([H])[C@]5(C6)CC2)OC1
580,COC(C=C1[C@H]2[C@@](CO[C@@H]3C4=CC(OC)=C(O[C@@H]([C@@H]([C@@H](O)[C@@H]5O)O)O[C@@H]5CO)C(OC)=C4)([H])[C@]3([H])CO2)=C(C(OC)=C1)O[C@@H]([C@@H]([C@@H](O)[C@@H]6O)O)O[C@@H]6CO
